team,date,competition,opponent,venue,result,gf,ga,is_friendly
Nigeria,2022-05-28,Friendly,Mexico,neutral,L,1,2,True
Argentina,2022-06-01,CONMEBOL–UEFA Cup of Champions,Italy,neutral,W,3,0,False
Australia,2022-06-01,Friendly,Jordan,neutral,W,2,1,True
Ghana,2022-06-01,African Cup of Nations qualification,Madagascar,home,W,3,0,False
Italy,2022-06-01,CONMEBOL–UEFA Cup of Champions,Argentina,neutral,L,0,3,False
Jordan,2022-06-01,Friendly,Australia,neutral,L,1,2,True
Madagascar,2022-06-01,African Cup of Nations qualification,Ghana,away,L,0,3,False
Morocco,2022-06-01,Friendly,United States,away,L,0,3,True
Scotland,2022-06-01,FIFA World Cup qualification,Ukraine,home,L,1,3,False
Ukraine,2022-06-01,FIFA World Cup qualification,Scotland,away,W,3,1,False
United States,2022-06-01,Friendly,Morocco,home,W,3,0,True
Brazil,2022-06-02,Friendly,South Korea,away,W,5,1,True
Costa Rica,2022-06-02,CONCACAF Nations League,Panama,away,L,0,2,False
Czechia,2022-06-02,UEFA Nations League,Switzerland,home,W,2,1,False
Ecuador,2022-06-02,Friendly,Nigeria,neutral,W,1,0,True
Equatorial Guinea,2022-06-02,African Cup of Nations qualification,Tunisia,away,L,0,4,False
Japan,2022-06-02,Friendly,Paraguay,home,W,4,1,True
Mexico,2022-06-02,Friendly,Uruguay,neutral,L,0,3,True
Nigeria,2022-06-02,Friendly,Ecuador,neutral,L,0,1,True
Norway,2022-06-02,UEFA Nations League,Serbia,away,W,1,0,False
Panama,2022-06-02,CONCACAF Nations League,Costa Rica,home,W,2,0,False
Paraguay,2022-06-02,Friendly,Japan,away,L,1,4,True
Portugal,2022-06-02,UEFA Nations League,Spain,away,D,1,1,False
Serbia,2022-06-02,UEFA Nations League,Norway,home,L,0,1,False
Slovenia,2022-06-02,UEFA Nations League,Sweden,home,L,0,2,False
South Korea,2022-06-02,Friendly,Brazil,home,L,1,5,True
Spain,2022-06-02,UEFA Nations League,Portugal,home,D,1,1,False
Sweden,2022-06-02,UEFA Nations League,Slovenia,away,W,2,0,False
Switzerland,2022-06-02,UEFA Nations League,Czechia,away,L,1,2,False
Tunisia,2022-06-02,African Cup of Nations qualification,Equatorial Guinea,home,W,4,0,False
Uruguay,2022-06-02,Friendly,Mexico,neutral,W,3,0,True
Austria,2022-06-03,UEFA Nations League,Croatia,away,W,3,0,False
Belgium,2022-06-03,UEFA Nations League,Netherlands,home,L,1,4,False
Burkina Faso,2022-06-03,African Cup of Nations qualification,Cape Verde,neutral,W,2,0,False
Cape Verde,2022-06-03,African Cup of Nations qualification,Burkina Faso,neutral,L,0,2,False
Croatia,2022-06-03,UEFA Nations League,Austria,home,L,0,3,False
Curacao,2022-06-03,CONCACAF Nations League,Honduras,home,L,0,1,False
Denmark,2022-06-03,UEFA Nations League,France,away,W,2,1,False
France,2022-06-03,UEFA Nations League,Denmark,home,L,1,2,False
Honduras,2022-06-03,CONCACAF Nations League,Curacao,away,W,1,0,False
Ivory Coast,2022-06-03,African Cup of Nations qualification,Zambia,home,W,3,1,False
Netherlands,2022-06-03,UEFA Nations League,Belgium,away,W,4,1,False
Zambia,2022-06-03,African Cup of Nations qualification,Ivory Coast,away,L,1,3,False
Algeria,2022-06-04,African Cup of Nations qualification,Uganda,home,W,2,0,False
Benin,2022-06-04,African Cup of Nations qualification,Senegal,away,L,1,3,False
Bermuda,2022-06-04,CONCACAF Nations League,Haiti,home,D,0,0,False
Bosnia and Herzegovina,2022-06-04,UEFA Nations League,Finland,away,D,1,1,False
DR Congo,2022-06-04,African Cup of Nations qualification,Gabon,home,L,0,1,False
England,2022-06-04,UEFA Nations League,Hungary,away,L,0,1,False
Faroe Islands,2022-06-04,UEFA Nations League,Turkey,away,L,0,4,False
Finland,2022-06-04,UEFA Nations League,Bosnia and Herzegovina,home,D,1,1,False
Gabon,2022-06-04,African Cup of Nations qualification,DR Congo,away,W,1,0,False
Germany,2022-06-04,UEFA Nations League,Italy,away,D,1,1,False
Haiti,2022-06-04,CONCACAF Nations League,Bermuda,away,D,0,0,False
Hungary,2022-06-04,UEFA Nations League,England,home,W,1,0,False
Italy,2022-06-04,UEFA Nations League,Germany,home,D,1,1,False
Senegal,2022-06-04,African Cup of Nations qualification,Benin,home,W,3,1,False
Turkey,2022-06-04,UEFA Nations League,Faroe Islands,home,W,4,0,False
Uganda,2022-06-04,African Cup of Nations qualification,Algeria,away,L,0,2,False
Argentina,2022-06-05,Friendly,Estonia,neutral,W,5,0,True
Botswana,2022-06-05,African Cup of Nations qualification,Tunisia,home,D,0,0,False
Central African Republic,2022-06-05,African Cup of Nations qualification,Ghana,neutral,D,1,1,False
Colombia,2022-06-05,Friendly,Saudi Arabia,neutral,W,1,0,True
Czechia,2022-06-05,UEFA Nations League,Spain,home,D,2,2,False
Ecuador,2022-06-05,Friendly,Mexico,neutral,D,0,0,True
Egypt,2022-06-05,African Cup of Nations qualification,Guinea,home,W,1,0,False
Estonia,2022-06-05,Friendly,Argentina,neutral,L,0,5,True
Ghana,2022-06-05,African Cup of Nations qualification,Central African Republic,neutral,D,1,1,False
Guinea,2022-06-05,African Cup of Nations qualification,Egypt,away,L,0,1,False
Mexico,2022-06-05,Friendly,Ecuador,neutral,D,0,0,True
New Zealand,2022-06-05,Friendly,Peru,neutral,L,0,1,True
Norway,2022-06-05,UEFA Nations League,Sweden,away,W,2,1,False
Peru,2022-06-05,Friendly,New Zealand,neutral,W,1,0,True
Portugal,2022-06-05,UEFA Nations League,Switzerland,home,W,4,0,False
Saudi Arabia,2022-06-05,Friendly,Colombia,neutral,L,0,1,True
Spain,2022-06-05,UEFA Nations League,Czechia,away,D,2,2,False
Sweden,2022-06-05,UEFA Nations League,Norway,home,L,1,2,False
Switzerland,2022-06-05,UEFA Nations League,Portugal,away,L,0,4,False
Tunisia,2022-06-05,African Cup of Nations qualification,Botswana,away,D,0,0,False
United States,2022-06-05,Friendly,Uruguay,home,D,0,0,True
Uruguay,2022-06-05,Friendly,United States,away,D,0,0,True
Austria,2022-06-06,UEFA Nations League,Denmark,home,L,1,2,False
Brazil,2022-06-06,Friendly,Japan,away,W,1,0,True
Chile,2022-06-06,Friendly,South Korea,away,L,0,2,True
Croatia,2022-06-06,UEFA Nations League,France,home,D,1,1,False
Curacao,2022-06-06,CONCACAF Nations League,Honduras,away,W,2,1,False
Denmark,2022-06-06,UEFA Nations League,Austria,away,W,2,1,False
France,2022-06-06,UEFA Nations League,Croatia,away,D,1,1,False
Honduras,2022-06-06,CONCACAF Nations League,Curacao,home,L,1,2,False
Japan,2022-06-06,Friendly,Brazil,home,L,0,1,True
South Korea,2022-06-06,Friendly,Chile,home,W,2,0,True
Australia,2022-06-07,FIFA World Cup qualification,United Arab Emirates,neutral,W,2,1,False
Bosnia and Herzegovina,2022-06-07,UEFA Nations League,Romania,home,W,1,0,False
Cape Verde,2022-06-07,African Cup of Nations qualification,Togo,neutral,W,2,0,False
England,2022-06-07,UEFA Nations League,Germany,away,D,1,1,False
Germany,2022-06-07,UEFA Nations League,England,home,D,1,1,False
Haiti,2022-06-07,CONCACAF Nations League,Montserrat,neutral,W,3,2,False
Lithuania,2022-06-07,UEFA Nations League,Turkey,home,L,0,6,False
Montserrat,2022-06-07,CONCACAF Nations League,Haiti,neutral,L,2,3,False
Romania,2022-06-07,UEFA Nations League,Bosnia and Herzegovina,away,L,0,1,False
Rwanda,2022-06-07,African Cup of Nations qualification,Senegal,away,L,0,1,False
Senegal,2022-06-07,African Cup of Nations qualification,Rwanda,home,W,1,0,False
Togo,2022-06-07,African Cup of Nations qualification,Cape Verde,neutral,L,0,2,False
Turkey,2022-06-07,UEFA Nations League,Lithuania,away,W,6,0,False
United Arab Emirates,2022-06-07,FIFA World Cup qualification,Australia,neutral,L,1,2,False
Algeria,2022-06-08,African Cup of Nations qualification,Tanzania,away,W,2,0,False
Armenia,2022-06-08,UEFA Nations League,Scotland,away,L,0,2,False
Belgium,2022-06-08,UEFA Nations League,Poland,home,W,6,1,False
DR Congo,2022-06-08,African Cup of Nations qualification,Sudan,away,L,1,2,False
Jordan,2022-06-08,AFC Asian Cup qualification,Nepal,neutral,W,2,0,False
Nepal,2022-06-08,AFC Asian Cup qualification,Jordan,neutral,L,0,2,False
Netherlands,2022-06-08,UEFA Nations League,Wales,away,W,2,1,False
Poland,2022-06-08,UEFA Nations League,Belgium,away,L,1,6,False
Scotland,2022-06-08,UEFA Nations League,Armenia,home,W,2,0,False
Sri Lanka,2022-06-08,AFC Asian Cup qualification,Uzbekistan,away,L,0,3,False
Sudan,2022-06-08,African Cup of Nations qualification,DR Congo,home,W,2,1,False
Tanzania,2022-06-08,African Cup of Nations qualification,Algeria,home,L,0,2,False
Uzbekistan,2022-06-08,AFC Asian Cup qualification,Sri Lanka,home,W,3,0,False
Wales,2022-06-08,UEFA Nations League,Netherlands,home,L,1,2,False
Canada,2022-06-09,CONCACAF Nations League,Curacao,home,W,4,0,False
Curacao,2022-06-09,CONCACAF Nations League,Canada,away,L,0,4,False
Czechia,2022-06-09,UEFA Nations League,Portugal,away,L,0,2,False
Egypt,2022-06-09,African Cup of Nations qualification,Ethiopia,neutral,L,0,2,False
Ethiopia,2022-06-09,African Cup of Nations qualification,Egypt,neutral,W,2,0,False
Ivory Coast,2022-06-09,African Cup of Nations qualification,Lesotho,neutral,D,0,0,False
Lesotho,2022-06-09,African Cup of Nations qualification,Ivory Coast,neutral,D,0,0,False
Martinique,2022-06-09,CONCACAF Nations League,Panama,away,L,0,5,False
Morocco,2022-06-09,African Cup of Nations qualification,South Africa,home,W,2,1,False
New Zealand,2022-06-09,Friendly,Oman,neutral,D,0,0,True
Norway,2022-06-09,UEFA Nations League,Slovenia,home,D,0,0,False
Oman,2022-06-09,Friendly,New Zealand,neutral,D,0,0,True
Panama,2022-06-09,CONCACAF Nations League,Martinique,home,W,5,0,False
Portugal,2022-06-09,UEFA Nations League,Czechia,home,W,2,0,False
Saudi Arabia,2022-06-09,Friendly,Venezuela,neutral,L,0,1,True
Serbia,2022-06-09,UEFA Nations League,Sweden,away,W,1,0,False
Slovenia,2022-06-09,UEFA Nations League,Norway,away,D,0,0,False
South Africa,2022-06-09,African Cup of Nations qualification,Morocco,away,L,1,2,False
Spain,2022-06-09,UEFA Nations League,Switzerland,away,W,1,0,False
Sweden,2022-06-09,UEFA Nations League,Serbia,home,L,0,1,False
Switzerland,2022-06-09,UEFA Nations League,Spain,home,L,0,1,False
Venezuela,2022-06-09,Friendly,Saudi Arabia,neutral,W,1,0,True
Austria,2022-06-10,UEFA Nations League,France,home,D,1,1,False
Chile,2022-06-10,Kirin Cup,Tunisia,neutral,L,0,2,False
Croatia,2022-06-10,UEFA Nations League,Denmark,away,W,1,0,False
Denmark,2022-06-10,UEFA Nations League,Croatia,home,L,0,1,False
France,2022-06-10,UEFA Nations League,Austria,away,D,1,1,False
Ghana,2022-06-10,Kirin Cup,Japan,away,L,1,4,False
Grenada,2022-06-10,CONCACAF Nations League,United States,away,L,0,5,False
Japan,2022-06-10,Kirin Cup,Ghana,home,W,4,1,False
Paraguay,2022-06-10,Friendly,South Korea,away,D,2,2,True
South Korea,2022-06-10,Friendly,Paraguay,home,D,2,2,True
Tunisia,2022-06-10,Kirin Cup,Chile,neutral,W,2,0,False
United States,2022-06-10,CONCACAF Nations League,Grenada,home,W,5,0,False
Belgium,2022-06-11,UEFA Nations League,Wales,away,D,1,1,False
Bosnia and Herzegovina,2022-06-11,UEFA Nations League,Montenegro,away,D,1,1,False
Cape Verde,2022-06-11,Friendly,Ecuador,neutral,L,0,1,True
Ecuador,2022-06-11,Friendly,Cape Verde,neutral,W,1,0,True
England,2022-06-11,UEFA Nations League,Italy,home,D,0,0,False
Germany,2022-06-11,UEFA Nations League,Hungary,away,D,1,1,False
Guyana,2022-06-11,CONCACAF Nations League,Haiti,home,L,2,6,False
Haiti,2022-06-11,CONCACAF Nations League,Guyana,away,W,6,2,False
Hungary,2022-06-11,UEFA Nations League,Germany,home,D,1,1,False
Indonesia,2022-06-11,AFC Asian Cup qualification,Jordan,neutral,L,0,1,False
Ireland,2022-06-11,UEFA Nations League,Scotland,home,W,3,0,False
Italy,2022-06-11,UEFA Nations League,England,away,D,0,0,False
Jordan,2022-06-11,AFC Asian Cup qualification,Indonesia,neutral,W,1,0,False
Luxembourg,2022-06-11,UEFA Nations League,Turkey,home,L,0,2,False
Maldives,2022-06-11,AFC Asian Cup qualification,Uzbekistan,away,L,0,4,False
Mexico,2022-06-11,CONCACAF Nations League,Suriname,home,W,3,0,False
Montenegro,2022-06-11,UEFA Nations League,Bosnia and Herzegovina,home,D,1,1,False
Netherlands,2022-06-11,UEFA Nations League,Poland,home,D,2,2,False
Panama,2022-06-11,Friendly,Uruguay,away,L,0,5,True
Poland,2022-06-11,UEFA Nations League,Netherlands,away,D,2,2,False
Scotland,2022-06-11,UEFA Nations League,Ireland,away,L,0,3,False
Suriname,2022-06-11,CONCACAF Nations League,Mexico,away,L,0,3,False
Turkey,2022-06-11,UEFA Nations League,Luxembourg,away,W,2,0,False
Uruguay,2022-06-11,Friendly,Panama,home,W,5,0,True
Uzbekistan,2022-06-11,AFC Asian Cup qualification,Maldives,home,W,4,0,False
Wales,2022-06-11,UEFA Nations League,Belgium,home,D,1,1,False
Algeria,2022-06-12,Friendly,Iran,neutral,W,2,1,True
Czechia,2022-06-12,UEFA Nations League,Spain,away,L,0,2,False
Iran,2022-06-12,Friendly,Algeria,neutral,L,1,2,True
Martinique,2022-06-12,CONCACAF Nations League,Panama,home,D,0,0,False
Norway,2022-06-12,UEFA Nations League,Sweden,home,W,3,2,False
Panama,2022-06-12,CONCACAF Nations League,Martinique,away,D,0,0,False
Portugal,2022-06-12,UEFA Nations League,Switzerland,away,L,0,1,False
Spain,2022-06-12,UEFA Nations League,Czechia,home,W,2,0,False
Sweden,2022-06-12,UEFA Nations League,Norway,away,L,2,3,False
Switzerland,2022-06-12,UEFA Nations League,Portugal,home,W,1,0,False
Australia,2022-06-13,FIFA World Cup qualification,Peru,neutral,D,0,0,False
Austria,2022-06-13,UEFA Nations League,Denmark,away,L,0,2,False
Canada,2022-06-13,CONCACAF Nations League,Honduras,away,L,1,2,False
Croatia,2022-06-13,UEFA Nations League,France,away,W,1,0,False
Denmark,2022-06-13,UEFA Nations League,Austria,home,W,2,0,False
France,2022-06-13,UEFA Nations League,Croatia,home,L,0,1,False
Honduras,2022-06-13,CONCACAF Nations League,Canada,home,W,2,1,False
Liberia,2022-06-13,African Cup of Nations qualification,Morocco,away,L,0,2,False
Morocco,2022-06-13,African Cup of Nations qualification,Liberia,home,W,2,0,False
Peru,2022-06-13,FIFA World Cup qualification,Australia,neutral,D,0,0,False
Armenia,2022-06-14,UEFA Nations League,Scotland,home,L,1,4,False
Belgium,2022-06-14,UEFA Nations League,Poland,away,W,1,0,False
Bosnia and Herzegovina,2022-06-14,UEFA Nations League,Finland,home,W,3,2,False
Chile,2022-06-14,Kirin Cup,Ghana,neutral,D,0,0,False
Costa Rica,2022-06-14,FIFA World Cup qualification,New Zealand,neutral,W,1,0,False
Egypt,2022-06-14,Friendly,South Korea,away,L,1,4,True
El Salvador,2022-06-14,CONCACAF Nations League,United States,home,D,1,1,False
England,2022-06-14,UEFA Nations League,Hungary,home,L,0,4,False
Finland,2022-06-14,UEFA Nations League,Bosnia and Herzegovina,away,L,2,3,False
Germany,2022-06-14,UEFA Nations League,Italy,home,W,5,2,False
Ghana,2022-06-14,Kirin Cup,Chile,neutral,D,0,0,False
Guyana,2022-06-14,CONCACAF Nations League,Haiti,neutral,L,0,6,False
Haiti,2022-06-14,CONCACAF Nations League,Guyana,neutral,W,6,0,False
Hungary,2022-06-14,UEFA Nations League,England,away,W,4,0,False
Italy,2022-06-14,UEFA Nations League,Germany,away,L,2,5,False
Jamaica,2022-06-14,CONCACAF Nations League,Mexico,home,D,1,1,False
Japan,2022-06-14,Kirin Cup,Tunisia,home,L,0,3,False
Jordan,2022-06-14,AFC Asian Cup qualification,Kuwait,away,W,3,0,False
Kuwait,2022-06-14,AFC Asian Cup qualification,Jordan,home,L,0,3,False
Lithuania,2022-06-14,UEFA Nations League,Turkey,away,L,0,2,False
Mexico,2022-06-14,CONCACAF Nations League,Jamaica,away,D,1,1,False
Netherlands,2022-06-14,UEFA Nations League,Wales,home,W,3,2,False
New Zealand,2022-06-14,FIFA World Cup qualification,Costa Rica,neutral,L,0,1,False
Poland,2022-06-14,UEFA Nations League,Belgium,home,L,0,1,False
Scotland,2022-06-14,UEFA Nations League,Armenia,away,W,4,1,False
South Korea,2022-06-14,Friendly,Egypt,home,W,4,1,True
Thailand,2022-06-14,AFC Asian Cup qualification,Uzbekistan,away,L,0,2,False
Tunisia,2022-06-14,Kirin Cup,Japan,away,W,3,0,False
Turkey,2022-06-14,UEFA Nations League,Lithuania,home,W,2,0,False
United States,2022-06-14,CONCACAF Nations League,El Salvador,away,D,1,1,False
Uzbekistan,2022-06-14,AFC Asian Cup qualification,Thailand,home,W,2,0,False
Wales,2022-06-14,UEFA Nations League,Netherlands,away,L,2,3,False
Eswatini,2022-07-13,COSAFA Cup,Senegal,neutral,D,1,1,False
Mozambique,2022-07-13,COSAFA Cup,South Africa,away,D,0,0,False
Senegal,2022-07-13,COSAFA Cup,Eswatini,neutral,D,1,1,False
South Africa,2022-07-13,COSAFA Cup,Mozambique,home,D,0,0,False
Madagascar,2022-07-15,COSAFA Cup,South Africa,away,L,1,2,False
Senegal,2022-07-15,COSAFA Cup,Zambia,neutral,L,3,4,False
South Africa,2022-07-15,COSAFA Cup,Madagascar,home,W,2,1,False
Zambia,2022-07-15,COSAFA Cup,Senegal,neutral,W,4,3,False
Botswana,2022-07-17,COSAFA Cup,South Africa,away,L,1,2,False
Mozambique,2022-07-17,COSAFA Cup,Senegal,neutral,D,1,1,False
Senegal,2022-07-17,COSAFA Cup,Mozambique,neutral,D,1,1,False
South Africa,2022-07-17,COSAFA Cup,Botswana,home,W,2,1,False
Hong Kong,2022-07-19,EAFF Championship,Japan,away,L,0,6,False
Japan,2022-07-19,EAFF Championship,Hong Kong,home,W,6,0,False
China PR,2022-07-20,EAFF Championship,South Korea,neutral,L,0,3,False
South Korea,2022-07-20,EAFF Championship,China PR,neutral,W,3,0,False
China PR,2022-07-24,EAFF Championship,Japan,away,D,0,0,False
Hong Kong,2022-07-24,EAFF Championship,South Korea,neutral,L,0,3,False
Japan,2022-07-24,EAFF Championship,China PR,home,D,0,0,False
South Korea,2022-07-24,EAFF Championship,Hong Kong,neutral,W,3,0,False
Japan,2022-07-27,EAFF Championship,South Korea,home,W,3,0,False
South Korea,2022-07-27,EAFF Championship,Japan,away,L,0,3,False
Mexico,2022-08-31,Friendly,Paraguay,neutral,L,0,1,True
Paraguay,2022-08-31,Friendly,Mexico,neutral,W,1,0,True
Scotland,2022-09-21,UEFA Nations League,Ukraine,home,W,3,0,False
Ukraine,2022-09-21,UEFA Nations League,Scotland,away,L,0,3,False
Australia,2022-09-22,Friendly,New Zealand,home,W,1,0,True
Austria,2022-09-22,UEFA Nations League,France,away,L,0,2,False
Belgium,2022-09-22,UEFA Nations League,Wales,home,W,2,1,False
Comoros,2022-09-22,Friendly,Tunisia,neutral,L,0,1,True
Croatia,2022-09-22,UEFA Nations League,Denmark,home,W,2,1,False
Denmark,2022-09-22,UEFA Nations League,Croatia,away,L,1,2,False
France,2022-09-22,UEFA Nations League,Austria,home,W,2,0,False
Luxembourg,2022-09-22,UEFA Nations League,Turkey,away,D,3,3,False
Netherlands,2022-09-22,UEFA Nations League,Poland,away,W,2,0,False
New Zealand,2022-09-22,Friendly,Australia,away,L,0,1,True
Poland,2022-09-22,UEFA Nations League,Netherlands,home,L,0,2,False
Tunisia,2022-09-22,Friendly,Comoros,neutral,W,1,0,True
Turkey,2022-09-22,UEFA Nations League,Luxembourg,home,D,3,3,False
Wales,2022-09-22,UEFA Nations League,Belgium,away,L,1,2,False
Algeria,2022-09-23,Friendly,Guinea,home,W,1,0,True
Argentina,2022-09-23,Friendly,Honduras,neutral,W,3,0,True
Bahrain,2022-09-23,Friendly,Cape Verde,home,L,1,2,True
Bosnia and Herzegovina,2022-09-23,UEFA Nations League,Montenegro,home,W,1,0,False
Brazil,2022-09-23,Friendly,Ghana,neutral,W,3,0,True
Burkina Faso,2022-09-23,Friendly,DR Congo,neutral,W,1,0,True
Cameroon,2022-09-23,Friendly,Uzbekistan,neutral,L,0,2,True
Canada,2022-09-23,Friendly,Qatar,neutral,W,2,0,True
Cape Verde,2022-09-23,Friendly,Bahrain,away,W,2,1,True
Chile,2022-09-23,Friendly,Morocco,neutral,L,0,2,True
Costa Rica,2022-09-23,Friendly,South Korea,away,D,2,2,True
DR Congo,2022-09-23,Friendly,Burkina Faso,neutral,L,0,1,True
Ecuador,2022-09-23,Friendly,Saudi Arabia,neutral,D,0,0,True
Egypt,2022-09-23,Friendly,Niger,home,W,3,0,True
England,2022-09-23,UEFA Nations League,Italy,away,L,0,1,False
Germany,2022-09-23,UEFA Nations League,Hungary,home,L,0,1,False
Ghana,2022-09-23,Friendly,Brazil,neutral,L,0,3,True
Guinea,2022-09-23,Friendly,Algeria,away,L,0,1,True
Honduras,2022-09-23,Friendly,Argentina,neutral,L,0,3,True
Hungary,2022-09-23,UEFA Nations League,Germany,away,W,1,0,False
Iran,2022-09-23,Friendly,Uruguay,neutral,W,1,0,True
Iraq,2022-09-23,Jordan International Tournament,Oman,neutral,D,1,1,False
Italy,2022-09-23,UEFA Nations League,England,home,W,1,0,False
Japan,2022-09-23,Kirin Challenge Cup,United States,neutral,W,2,0,False
Jordan,2022-09-23,Jordan International Tournament,Syria,home,W,2,0,False
Montenegro,2022-09-23,UEFA Nations League,Bosnia and Herzegovina,away,L,0,1,False
Morocco,2022-09-23,Friendly,Chile,neutral,W,2,0,True
Niger,2022-09-23,Friendly,Egypt,away,L,0,3,True
Oman,2022-09-23,Jordan International Tournament,Iraq,neutral,D,1,1,False
Paraguay,2022-09-23,Friendly,United Arab Emirates,neutral,W,1,0,True
Qatar,2022-09-23,Friendly,Canada,neutral,L,0,2,True
Saudi Arabia,2022-09-23,Friendly,Ecuador,neutral,D,0,0,True
South Korea,2022-09-23,Friendly,Costa Rica,home,D,2,2,True
Syria,2022-09-23,Jordan International Tournament,Jordan,away,L,0,2,False
United Arab Emirates,2022-09-23,Friendly,Paraguay,neutral,L,0,1,True
United States,2022-09-23,Kirin Challenge Cup,Japan,neutral,L,0,2,False
Uruguay,2022-09-23,Friendly,Iran,neutral,L,0,1,True
Uzbekistan,2022-09-23,Friendly,Cameroon,neutral,W,2,0,True
Bolivia,2022-09-24,Friendly,Senegal,neutral,L,0,2,True
Colombia,2022-09-24,Friendly,Guatemala,neutral,W,4,1,True
Curacao,2022-09-24,Friendly,Indonesia,away,L,2,3,True
Czechia,2022-09-24,UEFA Nations League,Portugal,home,L,0,4,False
Guatemala,2022-09-24,Friendly,Colombia,neutral,L,1,4,True
Indonesia,2022-09-24,Friendly,Curacao,home,W,3,2,True
Ireland,2022-09-24,UEFA Nations League,Scotland,away,L,1,2,False
Ivory Coast,2022-09-24,Friendly,Togo,neutral,W,2,1,True
Mexico,2022-09-24,Friendly,Peru,neutral,W,1,0,True
Norway,2022-09-24,UEFA Nations League,Slovenia,away,L,1,2,False
Peru,2022-09-24,Friendly,Mexico,neutral,L,0,1,True
Portugal,2022-09-24,UEFA Nations League,Czechia,away,W,4,0,False
Scotland,2022-09-24,UEFA Nations League,Ireland,home,W,2,1,False
Senegal,2022-09-24,Friendly,Bolivia,neutral,W,2,0,True
Serbia,2022-09-24,UEFA Nations League,Sweden,home,W,4,1,False
Sierra Leone,2022-09-24,Friendly,South Africa,away,L,0,4,True
Slovenia,2022-09-24,UEFA Nations League,Norway,home,W,2,1,False
South Africa,2022-09-24,Friendly,Sierra Leone,home,W,4,0,True
Spain,2022-09-24,UEFA Nations League,Switzerland,home,L,1,2,False
Sweden,2022-09-24,UEFA Nations League,Serbia,away,L,1,4,False
Switzerland,2022-09-24,UEFA Nations League,Spain,away,W,2,1,False
Togo,2022-09-24,Friendly,Ivory Coast,neutral,L,1,2,True
Australia,2022-09-25,Friendly,New Zealand,away,W,2,0,True
Austria,2022-09-25,UEFA Nations League,Croatia,home,L,1,3,False
Belgium,2022-09-25,UEFA Nations League,Netherlands,away,L,0,1,False
Croatia,2022-09-25,UEFA Nations League,Austria,away,W,3,1,False
Denmark,2022-09-25,UEFA Nations League,France,home,W,2,0,False
Faroe Islands,2022-09-25,UEFA Nations League,Turkey,home,W,2,1,False
France,2022-09-25,UEFA Nations League,Denmark,away,L,0,2,False
Netherlands,2022-09-25,UEFA Nations League,Belgium,home,W,1,0,False
New Zealand,2022-09-25,Friendly,Australia,home,L,0,2,True
Turkey,2022-09-25,UEFA Nations League,Faroe Islands,away,L,1,2,False
Bosnia and Herzegovina,2022-09-26,UEFA Nations League,Romania,away,L,1,4,False
England,2022-09-26,UEFA Nations League,Germany,home,D,3,3,False
Germany,2022-09-26,UEFA Nations League,England,away,D,3,3,False
Iraq,2022-09-26,Jordan International Tournament,Syria,neutral,W,1,0,False
Jordan,2022-09-26,Jordan International Tournament,Oman,home,W,1,0,False
Oman,2022-09-26,Jordan International Tournament,Jordan,away,L,0,1,False
Romania,2022-09-26,UEFA Nations League,Bosnia and Herzegovina,home,W,4,1,False
Syria,2022-09-26,Jordan International Tournament,Iraq,neutral,L,0,1,False
Algeria,2022-09-27,Friendly,Nigeria,home,W,2,1,True
Argentina,2022-09-27,Friendly,Jamaica,neutral,W,3,0,True
Bahrain,2022-09-27,Friendly,Panama,home,L,0,2,True
Botswana,2022-09-27,Friendly,South Africa,away,L,0,1,True
Brazil,2022-09-27,Friendly,Tunisia,neutral,W,5,1,True
Cameroon,2022-09-27,Friendly,South Korea,away,L,0,1,True
Canada,2022-09-27,Friendly,Uruguay,neutral,L,0,2,True
Chile,2022-09-27,Friendly,Qatar,neutral,D,2,2,True
Colombia,2022-09-27,Friendly,Mexico,neutral,W,3,2,True
Costa Rica,2022-09-27,Friendly,Uzbekistan,neutral,W,2,1,True
Curacao,2022-09-27,Friendly,Indonesia,away,L,1,2,True
Czechia,2022-09-27,UEFA Nations League,Switzerland,away,L,1,2,False
DR Congo,2022-09-27,Friendly,Sierra Leone,neutral,W,3,0,True
Ecuador,2022-09-27,Kirin Challenge Cup,Japan,neutral,D,0,0,False
Egypt,2022-09-27,Friendly,Liberia,home,W,3,0,True
Ghana,2022-09-27,Friendly,Nicaragua,neutral,W,1,0,True
Guinea,2022-09-27,Friendly,Ivory Coast,neutral,L,1,3,True
Indonesia,2022-09-27,Friendly,Curacao,home,W,2,1,True
Iran,2022-09-27,Friendly,Senegal,neutral,D,1,1,True
Ivory Coast,2022-09-27,Friendly,Guinea,neutral,W,3,1,True
Jamaica,2022-09-27,Friendly,Argentina,neutral,L,0,3,True
Japan,2022-09-27,Kirin Challenge Cup,Ecuador,neutral,D,0,0,False
Liberia,2022-09-27,Friendly,Egypt,away,L,0,3,True
Mexico,2022-09-27,Friendly,Colombia,neutral,L,2,3,True
Morocco,2022-09-27,Friendly,Paraguay,neutral,D,0,0,True
Nicaragua,2022-09-27,Friendly,Ghana,neutral,L,0,1,True
Nigeria,2022-09-27,Friendly,Algeria,away,L,1,2,True
Norway,2022-09-27,UEFA Nations League,Serbia,home,L,0,2,False
Panama,2022-09-27,Friendly,Bahrain,away,W,2,0,True
Paraguay,2022-09-27,Friendly,Morocco,neutral,D,0,0,True
Portugal,2022-09-27,UEFA Nations League,Spain,home,L,0,1,False
Qatar,2022-09-27,Friendly,Chile,neutral,D,2,2,True
