team,date,competition,opponent,venue,result,gf,ga,is_friendly
Netherlands,2020-11-15,UEFA Nations League,Bosnia and Herzegovina,home,W,3,1,False
Northern Ireland,2020-11-15,UEFA Nations League,Austria,away,L,1,2,False
Norway,2020-11-15,UEFA Nations League,Romania,away,L,0,3,False
Romania,2020-11-15,UEFA Nations League,Norway,home,W,3,0,False
Russia,2020-11-15,UEFA Nations League,Turkey,away,L,2,3,False
Scotland,2020-11-15,UEFA Nations League,Slovakia,away,L,0,1,False
Senegal,2020-11-15,African Cup of Nations qualification,Guinea-Bissau,away,W,1,0,False
Slovakia,2020-11-15,UEFA Nations League,Scotland,home,W,1,0,False
Turkey,2020-11-15,UEFA Nations League,Russia,home,W,3,2,False
Algeria,2020-11-16,African Cup of Nations qualification,Zimbabwe,away,D,2,2,False
South Africa,2020-11-16,African Cup of Nations qualification,São Tomé and Príncipe,home,W,4,2,False
São Tomé and Príncipe,2020-11-16,African Cup of Nations qualification,South Africa,away,L,2,4,False
Zimbabwe,2020-11-16,African Cup of Nations qualification,Algeria,home,D,2,2,False
Angola,2020-11-17,African Cup of Nations qualification,DR Congo,home,L,0,1,False
Argentina,2020-11-17,FIFA World Cup qualification,Peru,away,W,2,0,False
Bolivia,2020-11-17,FIFA World Cup qualification,Paraguay,away,D,2,2,False
Brazil,2020-11-17,FIFA World Cup qualification,Uruguay,away,W,2,0,False
Cape Verde,2020-11-17,African Cup of Nations qualification,Rwanda,away,D,0,0,False
Central African Republic,2020-11-17,African Cup of Nations qualification,Morocco,neutral,L,0,2,False
Colombia,2020-11-17,FIFA World Cup qualification,Ecuador,away,L,1,6,False
Croatia,2020-11-17,UEFA Nations League,Portugal,home,L,2,3,False
DR Congo,2020-11-17,African Cup of Nations qualification,Angola,away,W,1,0,False
Ecuador,2020-11-17,FIFA World Cup qualification,Colombia,home,W,6,1,False
Egypt,2020-11-17,African Cup of Nations qualification,Togo,away,W,3,1,False
France,2020-11-17,UEFA Nations League,Sweden,home,W,4,2,False
Germany,2020-11-17,UEFA Nations League,Spain,away,L,0,6,False
Ghana,2020-11-17,African Cup of Nations qualification,Sudan,away,L,0,1,False
Ivory Coast,2020-11-17,African Cup of Nations qualification,Madagascar,away,D,1,1,False
Madagascar,2020-11-17,African Cup of Nations qualification,Ivory Coast,home,D,1,1,False
Morocco,2020-11-17,African Cup of Nations qualification,Central African Republic,neutral,W,2,0,False
Paraguay,2020-11-17,FIFA World Cup qualification,Bolivia,home,D,2,2,False
Peru,2020-11-17,FIFA World Cup qualification,Argentina,home,L,0,2,False
Portugal,2020-11-17,UEFA Nations League,Croatia,away,W,3,2,False
Rwanda,2020-11-17,African Cup of Nations qualification,Cape Verde,home,D,0,0,False
Spain,2020-11-17,UEFA Nations League,Germany,home,W,6,0,False
Sudan,2020-11-17,African Cup of Nations qualification,Ghana,home,W,1,0,False
Sweden,2020-11-17,UEFA Nations League,France,away,L,2,4,False
Switzerland,2020-11-17,UEFA Nations League,Ukraine,home,W,3,0,False
Tanzania,2020-11-17,African Cup of Nations qualification,Tunisia,home,D,1,1,False
Togo,2020-11-17,African Cup of Nations qualification,Egypt,home,L,1,3,False
Tunisia,2020-11-17,African Cup of Nations qualification,Tanzania,away,D,1,1,False
Ukraine,2020-11-17,UEFA Nations League,Switzerland,away,L,0,3,False
Uruguay,2020-11-17,FIFA World Cup qualification,Brazil,home,L,0,2,False
Austria,2020-11-18,UEFA Nations League,Norway,home,D,1,1,False
Belgium,2020-11-18,UEFA Nations League,Denmark,home,W,4,2,False
Bosnia and Herzegovina,2020-11-18,UEFA Nations League,Italy,home,L,0,2,False
Czechia,2020-11-18,UEFA Nations League,Slovakia,home,W,2,0,False
Denmark,2020-11-18,UEFA Nations League,Belgium,away,L,2,4,False
England,2020-11-18,UEFA Nations League,Iceland,home,W,4,0,False
Hungary,2020-11-18,UEFA Nations League,Turkey,home,W,2,0,False
Iceland,2020-11-18,UEFA Nations League,England,away,L,0,4,False
Israel,2020-11-18,UEFA Nations League,Scotland,home,W,1,0,False
Italy,2020-11-18,UEFA Nations League,Bosnia and Herzegovina,away,W,2,0,False
Netherlands,2020-11-18,UEFA Nations League,Poland,away,W,2,1,False
Norway,2020-11-18,UEFA Nations League,Austria,away,D,1,1,False
Poland,2020-11-18,UEFA Nations League,Netherlands,home,L,1,2,False
Scotland,2020-11-18,UEFA Nations League,Israel,away,L,0,1,False
Slovakia,2020-11-18,UEFA Nations League,Czechia,away,L,0,2,False
Turkey,2020-11-18,UEFA Nations League,Hungary,away,L,0,2,False
Bangladesh,2020-12-04,FIFA World Cup qualification,Qatar,away,L,0,5,False
Qatar,2020-12-04,FIFA World Cup qualification,Bangladesh,home,W,5,0,False
Azerbaijan,2021-03-24,FIFA World Cup qualification,Portugal,neutral,L,0,1,False
Belgium,2021-03-24,FIFA World Cup qualification,Wales,home,W,3,1,False
Bosnia and Herzegovina,2021-03-24,FIFA World Cup qualification,Finland,away,D,2,2,False
Croatia,2021-03-24,FIFA World Cup qualification,Slovenia,away,L,0,1,False
Czechia,2021-03-24,FIFA World Cup qualification,Estonia,neutral,W,6,2,False
Estonia,2021-03-24,FIFA World Cup qualification,Czechia,neutral,L,2,6,False
Finland,2021-03-24,FIFA World Cup qualification,Bosnia and Herzegovina,home,D,2,2,False
France,2021-03-24,FIFA World Cup qualification,Ukraine,home,D,1,1,False
Gibraltar,2021-03-24,FIFA World Cup qualification,Norway,home,L,0,3,False
Netherlands,2021-03-24,FIFA World Cup qualification,Turkey,away,L,2,4,False
Norway,2021-03-24,FIFA World Cup qualification,Gibraltar,away,W,3,0,False
Portugal,2021-03-24,FIFA World Cup qualification,Azerbaijan,neutral,W,1,0,False
Slovenia,2021-03-24,FIFA World Cup qualification,Croatia,home,W,1,0,False
Turkey,2021-03-24,FIFA World Cup qualification,Netherlands,home,W,4,2,False
Ukraine,2021-03-24,FIFA World Cup qualification,France,away,D,1,1,False
Wales,2021-03-24,FIFA World Cup qualification,Belgium,away,L,1,3,False
Algeria,2021-03-25,African Cup of Nations qualification,Zambia,away,D,3,3,False
Austria,2021-03-25,FIFA World Cup qualification,Scotland,away,D,2,2,False
Barbados,2021-03-25,FIFA World Cup qualification,Panama,neutral,L,0,1,False
Belize,2021-03-25,FIFA World Cup qualification,Haiti,away,L,0,2,False
Bermuda,2021-03-25,FIFA World Cup qualification,Canada,neutral,L,1,5,False
Bulgaria,2021-03-25,FIFA World Cup qualification,Switzerland,home,L,1,3,False
Canada,2021-03-25,FIFA World Cup qualification,Bermuda,neutral,W,5,1,False
Curacao,2021-03-25,FIFA World Cup qualification,Saint Vincent and the Grenadines,home,W,5,0,False
DR Congo,2021-03-25,African Cup of Nations qualification,Gabon,away,L,0,3,False
Egypt,2021-03-25,African Cup of Nations qualification,Kenya,away,D,1,1,False
England,2021-03-25,FIFA World Cup qualification,San Marino,home,W,5,0,False
Gabon,2021-03-25,African Cup of Nations qualification,DR Congo,home,W,3,0,False
Georgia,2021-03-25,FIFA World Cup qualification,Sweden,away,L,0,1,False
Germany,2021-03-25,FIFA World Cup qualification,Iceland,home,W,3,0,False
Ghana,2021-03-25,African Cup of Nations qualification,South Africa,away,D,1,1,False
Greece,2021-03-25,FIFA World Cup qualification,Spain,away,D,1,1,False
Haiti,2021-03-25,FIFA World Cup qualification,Belize,home,W,2,0,False
Iceland,2021-03-25,FIFA World Cup qualification,Germany,away,L,0,3,False
Kenya,2021-03-25,African Cup of Nations qualification,Egypt,home,D,1,1,False
Libya,2021-03-25,African Cup of Nations qualification,Tunisia,home,L,2,5,False
Panama,2021-03-25,FIFA World Cup qualification,Barbados,neutral,W,1,0,False
Saint Vincent and the Grenadines,2021-03-25,FIFA World Cup qualification,Curacao,away,L,0,5,False
San Marino,2021-03-25,FIFA World Cup qualification,England,away,L,0,5,False
Scotland,2021-03-25,FIFA World Cup qualification,Austria,home,D,2,2,False
South Africa,2021-03-25,African Cup of Nations qualification,Ghana,home,D,1,1,False
Spain,2021-03-25,FIFA World Cup qualification,Greece,home,D,1,1,False
Sweden,2021-03-25,FIFA World Cup qualification,Georgia,home,W,1,0,False
Switzerland,2021-03-25,FIFA World Cup qualification,Bulgaria,away,W,3,1,False
Tunisia,2021-03-25,African Cup of Nations qualification,Libya,away,W,5,2,False
Zambia,2021-03-25,African Cup of Nations qualification,Algeria,home,D,3,3,False
Cameroon,2021-03-26,African Cup of Nations qualification,Cape Verde,away,L,1,3,False
Cape Verde,2021-03-26,African Cup of Nations qualification,Cameroon,home,W,3,1,False
Congo,2021-03-26,African Cup of Nations qualification,Senegal,home,D,0,0,False
Ivory Coast,2021-03-26,African Cup of Nations qualification,Niger,neutral,W,3,0,False
Mauritania,2021-03-26,African Cup of Nations qualification,Morocco,home,D,0,0,False
Morocco,2021-03-26,African Cup of Nations qualification,Mauritania,away,D,0,0,False
Niger,2021-03-26,African Cup of Nations qualification,Ivory Coast,neutral,L,0,3,False
Senegal,2021-03-26,African Cup of Nations qualification,Congo,away,D,0,0,False
Belgium,2021-03-27,FIFA World Cup qualification,Czechia,away,D,1,1,False
Croatia,2021-03-27,FIFA World Cup qualification,Cyprus,home,W,1,0,False
Cyprus,2021-03-27,FIFA World Cup qualification,Croatia,away,L,0,1,False
Czechia,2021-03-27,FIFA World Cup qualification,Belgium,home,D,1,1,False
Latvia,2021-03-27,FIFA World Cup qualification,Netherlands,away,L,0,2,False
Netherlands,2021-03-27,FIFA World Cup qualification,Latvia,home,W,2,0,False
Norway,2021-03-27,FIFA World Cup qualification,Turkey,neutral,L,0,3,False
Portugal,2021-03-27,FIFA World Cup qualification,Serbia,away,D,2,2,False
Serbia,2021-03-27,FIFA World Cup qualification,Portugal,home,D,2,2,False
Turkey,2021-03-27,FIFA World Cup qualification,Norway,neutral,W,3,0,False
Albania,2021-03-28,FIFA World Cup qualification,England,home,L,0,2,False
Austria,2021-03-28,FIFA World Cup qualification,Faroe Islands,home,W,3,1,False
Cuba,2021-03-28,FIFA World Cup qualification,Curacao,neutral,L,1,2,False
Curacao,2021-03-28,FIFA World Cup qualification,Cuba,neutral,W,2,1,False
Dominica,2021-03-28,FIFA World Cup qualification,Panama,neutral,L,1,2,False
England,2021-03-28,FIFA World Cup qualification,Albania,away,W,2,0,False
Equatorial Guinea,2021-03-28,African Cup of Nations qualification,Tunisia,away,L,1,2,False
Faroe Islands,2021-03-28,FIFA World Cup qualification,Austria,away,L,1,3,False
France,2021-03-28,FIFA World Cup qualification,Kazakhstan,away,W,2,0,False
Georgia,2021-03-28,FIFA World Cup qualification,Spain,home,L,1,2,False
Germany,2021-03-28,FIFA World Cup qualification,Romania,away,W,1,0,False
Ghana,2021-03-28,African Cup of Nations qualification,São Tomé and Príncipe,home,W,3,1,False
Israel,2021-03-28,FIFA World Cup qualification,Scotland,home,D,1,1,False
Kazakhstan,2021-03-28,FIFA World Cup qualification,France,home,L,0,2,False
Kosovo,2021-03-28,FIFA World Cup qualification,Sweden,home,L,0,3,False
Lithuania,2021-03-28,FIFA World Cup qualification,Switzerland,away,L,0,1,False
Panama,2021-03-28,FIFA World Cup qualification,Dominica,neutral,W,2,1,False
Romania,2021-03-28,FIFA World Cup qualification,Germany,home,L,0,1,False
Scotland,2021-03-28,FIFA World Cup qualification,Israel,away,D,1,1,False
South Africa,2021-03-28,African Cup of Nations qualification,Sudan,away,L,0,2,False
Spain,2021-03-28,FIFA World Cup qualification,Georgia,away,W,2,1,False
Sudan,2021-03-28,African Cup of Nations qualification,South Africa,home,W,2,0,False
Sweden,2021-03-28,FIFA World Cup qualification,Kosovo,away,W,3,0,False
Switzerland,2021-03-28,FIFA World Cup qualification,Lithuania,home,W,1,0,False
São Tomé and Príncipe,2021-03-28,African Cup of Nations qualification,Ghana,away,L,1,3,False
Tunisia,2021-03-28,African Cup of Nations qualification,Equatorial Guinea,home,W,2,1,False
Algeria,2021-03-29,African Cup of Nations qualification,Botswana,home,W,5,0,False
Botswana,2021-03-29,African Cup of Nations qualification,Algeria,away,L,0,5,False
Canada,2021-03-29,FIFA World Cup qualification,Cayman Islands,neutral,W,11,0,False
Cayman Islands,2021-03-29,FIFA World Cup qualification,Canada,neutral,L,0,11,False
Comoros,2021-03-29,African Cup of Nations qualification,Egypt,away,L,0,4,False
DR Congo,2021-03-29,African Cup of Nations qualification,Gambia,home,W,1,0,False
Egypt,2021-03-29,African Cup of Nations qualification,Comoros,home,W,4,0,False
Gambia,2021-03-29,African Cup of Nations qualification,DR Congo,away,L,0,1,False
Belarus,2021-03-30,FIFA World Cup qualification,Belgium,away,L,0,8,False
Belgium,2021-03-30,FIFA World Cup qualification,Belarus,home,W,8,0,False
Burundi,2021-03-30,African Cup of Nations qualification,Morocco,away,L,0,1,False
Cape Verde,2021-03-30,African Cup of Nations qualification,Mozambique,away,W,1,0,False
Croatia,2021-03-30,FIFA World Cup qualification,Malta,home,W,3,0,False
Czechia,2021-03-30,FIFA World Cup qualification,Wales,away,L,0,1,False
Eswatini,2021-03-30,African Cup of Nations qualification,Senegal,away,D,1,1,False
Ethiopia,2021-03-30,African Cup of Nations qualification,Ivory Coast,away,L,1,3,False
Gibraltar,2021-03-30,FIFA World Cup qualification,Netherlands,home,L,0,7,False
Ivory Coast,2021-03-30,African Cup of Nations qualification,Ethiopia,home,W,3,1,False
Japan,2021-03-30,FIFA World Cup qualification,Mongolia,home,W,14,0,False
Latvia,2021-03-30,FIFA World Cup qualification,Turkey,away,D,3,3,False
Luxembourg,2021-03-30,FIFA World Cup qualification,Portugal,home,L,1,3,False
Malta,2021-03-30,FIFA World Cup qualification,Croatia,away,L,0,3,False
Mongolia,2021-03-30,FIFA World Cup qualification,Japan,away,L,0,14,False
Montenegro,2021-03-30,FIFA World Cup qualification,Norway,home,L,0,1,False
Morocco,2021-03-30,African Cup of Nations qualification,Burundi,home,W,1,0,False
Mozambique,2021-03-30,African Cup of Nations qualification,Cape Verde,home,L,0,1,False
Netherlands,2021-03-30,FIFA World Cup qualification,Gibraltar,away,W,7,0,False
Norway,2021-03-30,FIFA World Cup qualification,Montenegro,away,W,1,0,False
Palestine,2021-03-30,FIFA World Cup qualification,Saudi Arabia,away,L,0,5,False
Portugal,2021-03-30,FIFA World Cup qualification,Luxembourg,away,W,3,1,False
Saudi Arabia,2021-03-30,FIFA World Cup qualification,Palestine,home,W,5,0,False
Senegal,2021-03-30,African Cup of Nations qualification,Eswatini,home,D,1,1,False
Turkey,2021-03-30,FIFA World Cup qualification,Latvia,home,D,3,3,False
Wales,2021-03-30,FIFA World Cup qualification,Czechia,home,W,1,0,False
Austria,2021-03-31,FIFA World Cup qualification,Denmark,home,L,0,4,False
Bosnia and Herzegovina,2021-03-31,FIFA World Cup qualification,France,home,L,0,1,False
Denmark,2021-03-31,FIFA World Cup qualification,Austria,away,W,4,0,False
England,2021-03-31,FIFA World Cup qualification,Poland,home,W,2,1,False
Faroe Islands,2021-03-31,FIFA World Cup qualification,Scotland,away,L,0,4,False
France,2021-03-31,FIFA World Cup qualification,Bosnia and Herzegovina,away,W,1,0,False
Germany,2021-03-31,FIFA World Cup qualification,North Macedonia,home,L,1,2,False
Kosovo,2021-03-31,FIFA World Cup qualification,Spain,away,L,1,3,False
North Macedonia,2021-03-31,FIFA World Cup qualification,Germany,away,W,2,1,False
Poland,2021-03-31,FIFA World Cup qualification,England,away,L,1,2,False
Scotland,2021-03-31,FIFA World Cup qualification,Faroe Islands,home,W,4,0,False
Spain,2021-03-31,FIFA World Cup qualification,Kosovo,home,W,3,1,False
Japan,2021-05-28,FIFA World Cup qualification,Myanmar,home,W,10,0,False
Myanmar,2021-05-28,FIFA World Cup qualification,Japan,away,L,0,10,False
Argentina,2021-06-03,FIFA World Cup qualification,Chile,home,D,1,1,False
Australia,2021-06-03,FIFA World Cup qualification,Kuwait,away,W,3,0,False
Chile,2021-06-03,FIFA World Cup qualification,Argentina,away,D,1,1,False
Colombia,2021-06-03,FIFA World Cup qualification,Peru,away,W,3,0,False
Costa Rica,2021-06-03,CONCACAF Nations League,Mexico,neutral,D,0,0,False
Honduras,2021-06-03,CONCACAF Nations League,United States,away,L,0,1,False
Hong Kong,2021-06-03,FIFA World Cup qualification,Iran,away,L,1,3,False
India,2021-06-03,FIFA World Cup qualification,Qatar,away,L,0,1,False
Iran,2021-06-03,FIFA World Cup qualification,Hong Kong,home,W,3,1,False
Kuwait,2021-06-03,FIFA World Cup qualification,Australia,home,L,0,3,False
Mexico,2021-06-03,CONCACAF Nations League,Costa Rica,neutral,D,0,0,False
Paraguay,2021-06-03,FIFA World Cup qualification,Uruguay,away,D,0,0,False
Peru,2021-06-03,FIFA World Cup qualification,Colombia,home,L,0,3,False
Qatar,2021-06-03,FIFA World Cup qualification,India,home,W,1,0,False
United States,2021-06-03,CONCACAF Nations League,Honduras,home,W,1,0,False
Uruguay,2021-06-03,FIFA World Cup qualification,Paraguay,home,D,0,0,False
Brazil,2021-06-04,FIFA World Cup qualification,Ecuador,home,W,2,0,False
Ecuador,2021-06-04,FIFA World Cup qualification,Brazil,away,L,0,2,False
Anguilla,2021-06-05,FIFA World Cup qualification,Panama,away,L,0,13,False
Aruba,2021-06-05,FIFA World Cup qualification,Canada,neutral,L,0,7,False
British Virgin Islands,2021-06-05,FIFA World Cup qualification,Curacao,neutral,L,0,8,False
Canada,2021-06-05,FIFA World Cup qualification,Aruba,neutral,W,7,0,False
Curacao,2021-06-05,FIFA World Cup qualification,British Virgin Islands,neutral,W,8,0,False
Haiti,2021-06-05,FIFA World Cup qualification,Turks and Caicos Islands,away,W,10,0,False
Panama,2021-06-05,FIFA World Cup qualification,Anguilla,home,W,13,0,False
Saudi Arabia,2021-06-05,FIFA World Cup qualification,Yemen,home,W,3,0,False
South Korea,2021-06-05,FIFA World Cup qualification,Turkmenistan,home,W,5,0,False
Turkmenistan,2021-06-05,FIFA World Cup qualification,South Korea,away,L,0,5,False
Turks and Caicos Islands,2021-06-05,FIFA World Cup qualification,Haiti,home,L,0,10,False
Yemen,2021-06-05,FIFA World Cup qualification,Saudi Arabia,away,L,0,3,False
Mexico,2021-06-06,CONCACAF Nations League,United States,away,L,2,3,False
United States,2021-06-06,CONCACAF Nations League,Mexico,home,W,3,2,False
Australia,2021-06-07,FIFA World Cup qualification,Taiwan,neutral,W,5,1,False
Bahrain,2021-06-07,FIFA World Cup qualification,Iran,home,L,0,3,False
Cambodia,2021-06-07,FIFA World Cup qualification,Iraq,neutral,L,1,4,False
Iran,2021-06-07,FIFA World Cup qualification,Bahrain,away,W,3,0,False
Iraq,2021-06-07,FIFA World Cup qualification,Cambodia,neutral,W,4,1,False
Japan,2021-06-07,FIFA World Cup qualification,Tajikistan,home,W,4,1,False
Jordan,2021-06-07,FIFA World Cup qualification,Nepal,neutral,W,3,0,False
Nepal,2021-06-07,FIFA World Cup qualification,Jordan,neutral,L,0,3,False
Oman,2021-06-07,FIFA World Cup qualification,Qatar,away,L,0,1,False
Qatar,2021-06-07,FIFA World Cup qualification,Oman,home,W,1,0,False
Singapore,2021-06-07,FIFA World Cup qualification,Uzbekistan,neutral,L,0,5,False
Taiwan,2021-06-07,FIFA World Cup qualification,Australia,neutral,L,1,5,False
Tajikistan,2021-06-07,FIFA World Cup qualification,Japan,away,L,1,4,False
Uzbekistan,2021-06-07,FIFA World Cup qualification,Singapore,neutral,W,5,0,False
Argentina,2021-06-08,FIFA World Cup qualification,Colombia,away,D,2,2,False
Brazil,2021-06-08,FIFA World Cup qualification,Paraguay,away,W,2,0,False
Canada,2021-06-08,FIFA World Cup qualification,Suriname,neutral,W,4,0,False
Colombia,2021-06-08,FIFA World Cup qualification,Argentina,home,D,2,2,False
Curacao,2021-06-08,FIFA World Cup qualification,Guatemala,home,D,0,0,False
Dominican Republic,2021-06-08,FIFA World Cup qualification,Panama,away,L,0,3,False
Ecuador,2021-06-08,FIFA World Cup qualification,Peru,home,L,1,2,False
Guatemala,2021-06-08,FIFA World Cup qualification,Curacao,away,D,0,0,False
Haiti,2021-06-08,FIFA World Cup qualification,Nicaragua,home,W,1,0,False
Nicaragua,2021-06-08,FIFA World Cup qualification,Haiti,away,L,0,1,False
Panama,2021-06-08,FIFA World Cup qualification,Dominican Republic,home,W,3,0,False
Paraguay,2021-06-08,FIFA World Cup qualification,Brazil,home,L,0,2,False
Peru,2021-06-08,FIFA World Cup qualification,Ecuador,away,W,2,1,False
Suriname,2021-06-08,FIFA World Cup qualification,Canada,neutral,L,0,4,False
Uruguay,2021-06-08,FIFA World Cup qualification,Venezuela,away,D,0,0,False
Venezuela,2021-06-08,FIFA World Cup qualification,Uruguay,home,D,0,0,False
South Korea,2021-06-09,FIFA World Cup qualification,Sri Lanka,home,W,5,0,False
Sri Lanka,2021-06-09,FIFA World Cup qualification,South Korea,away,L,0,5,False
Australia,2021-06-11,FIFA World Cup qualification,Nepal,neutral,W,3,0,False
Cambodia,2021-06-11,FIFA World Cup qualification,Iran,neutral,L,0,10,False
Hong Kong,2021-06-11,FIFA World Cup qualification,Iraq,neutral,L,0,1,False
Iran,2021-06-11,FIFA World Cup qualification,Cambodia,neutral,W,10,0,False
Iraq,2021-06-11,FIFA World Cup qualification,Hong Kong,neutral,W,1,0,False
Italy,2021-06-11,UEFA Euro,Turkey,home,W,3,0,False
Japan,2021-06-11,Kirin Challenge Cup,Serbia,home,W,1,0,False
Jordan,2021-06-11,FIFA World Cup qualification,Kuwait,away,D,0,0,False
Kuwait,2021-06-11,FIFA World Cup qualification,Jordan,home,D,0,0,False
Nepal,2021-06-11,FIFA World Cup qualification,Australia,neutral,L,0,3,False
Saudi Arabia,2021-06-11,FIFA World Cup qualification,Singapore,home,W,3,0,False
Serbia,2021-06-11,Kirin Challenge Cup,Japan,away,L,0,1,False
Singapore,2021-06-11,FIFA World Cup qualification,Saudi Arabia,away,L,0,3,False
Turkey,2021-06-11,UEFA Euro,Italy,away,L,0,3,False
Uzbekistan,2021-06-11,FIFA World Cup qualification,Yemen,neutral,W,1,0,False
Yemen,2021-06-11,FIFA World Cup qualification,Uzbekistan,neutral,L,0,1,False
Belgium,2021-06-12,UEFA Euro,Russia,away,W,3,0,False
Canada,2021-06-12,FIFA World Cup qualification,Haiti,away,W,1,0,False
Curacao,2021-06-12,FIFA World Cup qualification,Panama,away,L,1,2,False
Haiti,2021-06-12,FIFA World Cup qualification,Canada,home,L,0,1,False
Panama,2021-06-12,FIFA World Cup qualification,Curacao,home,W,2,1,False
Russia,2021-06-12,UEFA Euro,Belgium,home,L,0,3,False
Switzerland,2021-06-12,UEFA Euro,Wales,away,D,1,1,False
Wales,2021-06-12,UEFA Euro,Switzerland,home,D,1,1,False
Austria,2021-06-13,UEFA Euro,North Macedonia,neutral,W,3,1,False
Brazil,2021-06-13,Copa América,Venezuela,home,W,3,0,False
Colombia,2021-06-13,Copa América,Ecuador,neutral,W,1,0,False
Croatia,2021-06-13,UEFA Euro,England,away,L,0,1,False
Ecuador,2021-06-13,Copa América,Colombia,neutral,L,0,1,False
England,2021-06-13,UEFA Euro,Croatia,home,W,1,0,False
Lebanon,2021-06-13,FIFA World Cup qualification,South Korea,away,L,1,2,False
Netherlands,2021-06-13,UEFA Euro,Ukraine,home,W,3,2,False
North Macedonia,2021-06-13,UEFA Euro,Austria,neutral,L,1,3,False
South Korea,2021-06-13,FIFA World Cup qualification,Lebanon,home,W,2,1,False
Ukraine,2021-06-13,UEFA Euro,Netherlands,away,L,2,3,False
Venezuela,2021-06-13,Copa América,Brazil,away,L,0,3,False
Argentina,2021-06-14,Copa América,Chile,neutral,D,1,1,False
Bolivia,2021-06-14,Copa América,Paraguay,neutral,L,1,3,False
Chile,2021-06-14,Copa América,Argentina,neutral,D,1,1,False
Czechia,2021-06-14,UEFA Euro,Scotland,away,W,2,0,False
Paraguay,2021-06-14,Copa América,Bolivia,neutral,W,3,1,False
Scotland,2021-06-14,UEFA Euro,Czechia,home,L,0,2,False
Spain,2021-06-14,UEFA Euro,Sweden,home,D,0,0,False
Sweden,2021-06-14,UEFA Euro,Spain,away,D,0,0,False
Australia,2021-06-15,FIFA World Cup qualification,Jordan,neutral,W,1,0,False
Canada,2021-06-15,FIFA World Cup qualification,Haiti,neutral,W,3,0,False
Curacao,2021-06-15,FIFA World Cup qualification,Panama,home,D,0,0,False
France,2021-06-15,UEFA Euro,Germany,away,W,1,0,False
Germany,2021-06-15,UEFA Euro,France,home,L,0,1,False
Haiti,2021-06-15,FIFA World Cup qualification,Canada,neutral,L,0,3,False
Hungary,2021-06-15,UEFA Euro,Portugal,home,L,0,3,False
Iran,2021-06-15,FIFA World Cup qualification,Iraq,home,W,1,0,False
Iraq,2021-06-15,FIFA World Cup qualification,Iran,away,L,0,1,False
Japan,2021-06-15,FIFA World Cup qualification,Kyrgyzstan,home,W,5,1,False
Jordan,2021-06-15,FIFA World Cup qualification,Australia,neutral,L,0,1,False
Kyrgyzstan,2021-06-15,FIFA World Cup qualification,Japan,away,L,1,5,False
Panama,2021-06-15,FIFA World Cup qualification,Curacao,away,D,0,0,False
Portugal,2021-06-15,UEFA Euro,Hungary,away,W,3,0,False
Saudi Arabia,2021-06-15,FIFA World Cup qualification,Uzbekistan,home,W,3,0,False
Uzbekistan,2021-06-15,FIFA World Cup qualification,Saudi Arabia,away,L,0,3,False
Italy,2021-06-16,UEFA Euro,Switzerland,home,W,3,0,False
Switzerland,2021-06-16,UEFA Euro,Italy,away,L,0,3,False
Turkey,2021-06-16,UEFA Euro,Wales,neutral,L,0,2,False
Wales,2021-06-16,UEFA Euro,Turkey,neutral,W,2,0,False
Austria,2021-06-17,UEFA Euro,Netherlands,away,L,0,2,False
Belgium,2021-06-17,UEFA Euro,Denmark,away,W,2,1,False
Brazil,2021-06-17,Copa América,Peru,home,W,4,0,False
Colombia,2021-06-17,Copa América,Venezuela,neutral,D,0,0,False
Denmark,2021-06-17,UEFA Euro,Belgium,home,L,1,2,False
Netherlands,2021-06-17,UEFA Euro,Austria,home,W,2,0,False
Peru,2021-06-17,Copa América,Brazil,away,L,0,4,False
Venezuela,2021-06-17,Copa América,Colombia,neutral,D,0,0,False
Argentina,2021-06-18,Copa América,Uruguay,neutral,W,1,0,False
Croatia,2021-06-18,UEFA Euro,Czechia,neutral,D,1,1,False
Czechia,2021-06-18,UEFA Euro,Croatia,neutral,D,1,1,False
England,2021-06-18,UEFA Euro,Scotland,home,D,0,0,False
Scotland,2021-06-18,UEFA Euro,England,away,D,0,0,False
Slovakia,2021-06-18,UEFA Euro,Sweden,neutral,L,0,1,False
Sweden,2021-06-18,UEFA Euro,Slovakia,neutral,W,1,0,False
Uruguay,2021-06-18,Copa América,Argentina,neutral,L,0,1,False
France,2021-06-19,UEFA Euro,Hungary,away,D,1,1,False
Germany,2021-06-19,UEFA Euro,Portugal,home,W,4,2,False
Hungary,2021-06-19,UEFA Euro,France,home,D,1,1,False
Poland,2021-06-19,UEFA Euro,Spain,away,D,1,1,False
Portugal,2021-06-19,UEFA Euro,Germany,away,L,2,4,False
Spain,2021-06-19,UEFA Euro,Poland,home,D,1,1,False
Colombia,2021-06-20,Copa América,Peru,neutral,L,1,2,False
Ecuador,2021-06-20,Copa América,Venezuela,neutral,D,2,2,False
Peru,2021-06-20,Copa América,Colombia,neutral,W,2,1,False
Switzerland,2021-06-20,UEFA Euro,Turkey,neutral,W,3,1,False
Turkey,2021-06-20,UEFA Euro,Switzerland,neutral,L,1,3,False
Venezuela,2021-06-20,Copa América,Ecuador,neutral,D,2,2,False
Argentina,2021-06-21,Copa América,Paraguay,neutral,W,1,0,False
Austria,2021-06-21,UEFA Euro,Ukraine,neutral,W,1,0,False
Belgium,2021-06-21,UEFA Euro,Finland,neutral,W,2,0,False
Chile,2021-06-21,Copa América,Uruguay,neutral,D,1,1,False
