team,date,competition,opponent,venue,result,gf,ga,is_friendly
Jordan,2018-11-20,Friendly,Saudi Arabia,home,D,1,1,True
Lebanon,2018-11-20,Friendly,Australia,away,L,0,3,True
Mexico,2018-11-20,Friendly,Argentina,away,L,0,2,True
Morocco,2018-11-20,Friendly,Tunisia,away,W,1,0,True
Panama,2018-11-20,Friendly,Ecuador,home,L,1,2,True
Paraguay,2018-11-20,Friendly,South Africa,away,D,1,1,True
Saudi Arabia,2018-11-20,Friendly,Jordan,away,D,1,1,True
South Africa,2018-11-20,Friendly,Paraguay,home,D,1,1,True
South Korea,2018-11-20,Friendly,Uzbekistan,neutral,W,4,0,True
Tunisia,2018-11-20,Friendly,Morocco,home,L,0,1,True
Turkey,2018-11-20,Friendly,Ukraine,home,D,0,0,True
Ukraine,2018-11-20,Friendly,Turkey,away,D,0,0,True
United States,2018-11-20,Friendly,Italy,neutral,L,0,1,True
Uruguay,2018-11-20,Friendly,France,away,L,0,1,True
Uzbekistan,2018-11-20,Friendly,South Korea,neutral,L,0,4,True
Venezuela,2018-11-20,Friendly,Iran,neutral,D,1,1,True
Jordan,2018-12-20,Friendly,Kyrgyzstan,neutral,L,0,1,True
Kyrgyzstan,2018-12-20,Friendly,Jordan,neutral,W,1,0,True
Jordan,2018-12-23,Friendly,Qatar,away,L,0,2,True
Qatar,2018-12-23,Friendly,Jordan,home,W,2,0,True
China PR,2018-12-24,Friendly,Iraq,neutral,L,1,2,True
Iran,2018-12-24,Friendly,Palestine,neutral,D,1,1,True
Iraq,2018-12-24,Friendly,China PR,neutral,W,2,1,True
Palestine,2018-12-24,Friendly,Iran,neutral,D,1,1,True
Kyrgyzstan,2018-12-25,Friendly,Qatar,away,L,0,1,True
Qatar,2018-12-25,Friendly,Kyrgyzstan,home,W,1,0,True
Algeria,2018-12-27,Friendly,Qatar,away,W,1,0,True
Qatar,2018-12-27,Friendly,Algeria,home,L,0,1,True
China PR,2018-12-28,Friendly,Jordan,neutral,D,1,1,True
Iraq,2018-12-28,Friendly,Palestine,neutral,W,1,0,True
Jordan,2018-12-28,Friendly,China PR,neutral,D,1,1,True
Palestine,2018-12-28,Friendly,Iraq,neutral,L,0,1,True
Australia,2018-12-30,Friendly,Oman,neutral,W,5,0,True
Oman,2018-12-30,Friendly,Australia,neutral,L,0,5,True
Iran,2018-12-31,Friendly,Qatar,away,W,2,1,True
Qatar,2018-12-31,Friendly,Iran,home,L,1,2,True
Saudi Arabia,2018-12-31,Friendly,South Korea,neutral,D,0,0,True
South Korea,2018-12-31,Friendly,Saudi Arabia,neutral,D,0,0,True
Finland,2019-01-08,Friendly,Sweden,neutral,W,1,0,True
Sweden,2019-01-08,Friendly,Finland,neutral,L,0,1,True
Iceland,2019-01-11,Friendly,Sweden,neutral,D,2,2,True
Sweden,2019-01-11,Friendly,Iceland,neutral,D,2,2,True
Panama,2019-01-27,Friendly,United States,away,L,0,3,True
United States,2019-01-27,Friendly,Panama,home,W,3,0,True
Costa Rica,2019-02-02,Friendly,United States,away,L,0,2,True
United States,2019-02-02,Friendly,Costa Rica,home,W,2,0,True
Germany,2019-03-20,Friendly,Serbia,home,D,1,1,True
Serbia,2019-03-20,Friendly,Germany,away,D,1,1,True
Ecuador,2019-03-21,Friendly,United States,away,L,0,1,True
Saudi Arabia,2019-03-21,Friendly,United Arab Emirates,away,L,1,2,True
United Arab Emirates,2019-03-21,Friendly,Saudi Arabia,home,W,2,1,True
United States,2019-03-21,Friendly,Ecuador,home,W,1,0,True
Argentina,2019-03-22,Friendly,Venezuela,neutral,L,1,3,True
Bolivia,2019-03-22,Friendly,South Korea,away,L,0,1,True
Chile,2019-03-22,Friendly,Mexico,neutral,L,1,3,True
Mexico,2019-03-22,Friendly,Chile,neutral,W,3,1,True
Paraguay,2019-03-22,Friendly,Peru,neutral,L,0,1,True
Peru,2019-03-22,Friendly,Paraguay,neutral,W,1,0,True
South Korea,2019-03-22,Friendly,Bolivia,home,W,1,0,True
Venezuela,2019-03-22,Friendly,Argentina,neutral,W,3,1,True
Brazil,2019-03-23,Friendly,Panama,neutral,D,1,1,True
Panama,2019-03-23,Friendly,Brazil,neutral,D,1,1,True
Equatorial Guinea,2019-03-25,Friendly,Saudi Arabia,away,L,2,3,True
Saudi Arabia,2019-03-25,Friendly,Equatorial Guinea,home,W,3,2,True
Algeria,2019-03-26,Friendly,Tunisia,home,W,1,0,True
Argentina,2019-03-26,Friendly,Morocco,away,W,1,0,True
Brazil,2019-03-26,Friendly,Czechia,away,W,3,1,True
Chile,2019-03-26,Friendly,United States,away,D,1,1,True
Colombia,2019-03-26,Friendly,South Korea,away,L,1,2,True
Czechia,2019-03-26,Friendly,Brazil,home,L,1,3,True
Ecuador,2019-03-26,Friendly,Honduras,neutral,D,0,0,True
Egypt,2019-03-26,Friendly,Nigeria,away,L,0,1,True
Ghana,2019-03-26,Friendly,Mauritania,home,W,3,1,True
Honduras,2019-03-26,Friendly,Ecuador,neutral,D,0,0,True
Ivory Coast,2019-03-26,Friendly,Liberia,home,W,1,0,True
Liberia,2019-03-26,Friendly,Ivory Coast,away,L,0,1,True
Mali,2019-03-26,Friendly,Senegal,away,L,1,2,True
Mauritania,2019-03-26,Friendly,Ghana,away,L,1,3,True
Mexico,2019-03-26,Friendly,Paraguay,neutral,W,4,2,True
Morocco,2019-03-26,Friendly,Argentina,home,L,0,1,True
Nigeria,2019-03-26,Friendly,Egypt,home,W,1,0,True
Paraguay,2019-03-26,Friendly,Mexico,neutral,L,2,4,True
Senegal,2019-03-26,Friendly,Mali,home,W,2,1,True
South Korea,2019-03-26,Friendly,Colombia,home,W,2,1,True
Tunisia,2019-03-26,Friendly,Algeria,away,L,0,1,True
United States,2019-03-26,Friendly,Chile,home,D,1,1,True
Basque Country,2019-05-29,Friendly,Panama,away,D,0,0,True
Panama,2019-05-29,Friendly,Basque Country,home,D,0,0,True
Greece,2019-05-30,Friendly,Turkey,away,L,1,2,True
Turkey,2019-05-30,Friendly,Greece,home,W,2,1,True
Ecuador,2019-06-01,Friendly,Venezuela,neutral,D,1,1,True
Venezuela,2019-06-01,Friendly,Ecuador,neutral,D,1,1,True
Bolivia,2019-06-02,Friendly,France,away,L,0,2,True
El Salvador,2019-06-02,Friendly,Haiti,neutral,W,1,0,True
France,2019-06-02,Friendly,Bolivia,home,W,2,0,True
Haiti,2019-06-02,Friendly,El Salvador,neutral,L,0,1,True
Turkey,2019-06-02,Friendly,Uzbekistan,home,W,2,0,True
Uzbekistan,2019-06-02,Friendly,Turkey,away,L,0,2,True
Colombia,2019-06-03,Friendly,Panama,home,W,3,0,True
Panama,2019-06-03,Friendly,Colombia,away,L,0,3,True
Brazil,2019-06-05,Friendly,Qatar,home,W,2,0,True
Honduras,2019-06-05,Friendly,Paraguay,away,D,1,1,True
Jamaica,2019-06-05,Friendly,United States,away,W,1,0,True
Mexico,2019-06-05,Friendly,Venezuela,neutral,W,3,1,True
Paraguay,2019-06-05,Friendly,Honduras,home,D,1,1,True
Qatar,2019-06-05,Friendly,Brazil,away,L,0,2,True
United States,2019-06-05,Friendly,Jamaica,home,L,0,1,True
Venezuela,2019-06-05,Friendly,Mexico,neutral,L,1,3,True
Chile,2019-06-06,Friendly,Haiti,home,W,2,1,True
Haiti,2019-06-06,Friendly,Chile,away,L,1,2,True
Iran,2019-06-06,Friendly,Syria,home,W,5,0,True
Jordan,2019-06-06,Friendly,Slovakia,away,L,1,5,True
Slovakia,2019-06-06,Friendly,Jordan,home,W,5,1,True
Syria,2019-06-06,Friendly,Iran,away,L,0,5,True
Argentina,2019-06-07,Friendly,Nicaragua,home,W,5,1,True
Australia,2019-06-07,Friendly,South Korea,away,L,0,1,True
Comoros,2019-06-07,Friendly,Ivory Coast,away,L,1,3,True
Iraq,2019-06-07,Friendly,Tunisia,away,L,0,2,True
Ivory Coast,2019-06-07,Friendly,Comoros,home,W,3,1,True
Nicaragua,2019-06-07,Friendly,Argentina,away,L,1,5,True
North Korea,2019-06-07,Friendly,Uzbekistan,away,L,0,4,True
Panama,2019-06-07,Friendly,Uruguay,away,L,0,3,True
South Korea,2019-06-07,Friendly,Australia,home,W,1,0,True
Tunisia,2019-06-07,Friendly,Iraq,home,W,2,0,True
Uruguay,2019-06-07,Friendly,Panama,home,W,3,0,True
Uzbekistan,2019-06-07,Friendly,North Korea,home,W,4,0,True
Brazil,2019-06-09,Friendly,Honduras,home,W,7,0,True
Burkina Faso,2019-06-09,Friendly,DR Congo,neutral,D,0,0,True
Colombia,2019-06-09,Friendly,Peru,away,W,3,0,True
DR Congo,2019-06-09,Friendly,Burkina Faso,neutral,D,0,0,True
Ecuador,2019-06-09,Friendly,Mexico,neutral,L,2,3,True
Guatemala,2019-06-09,Friendly,Paraguay,away,L,0,2,True
Honduras,2019-06-09,Friendly,Brazil,away,L,0,7,True
Mexico,2019-06-09,Friendly,Ecuador,neutral,W,3,2,True
Paraguay,2019-06-09,Friendly,Guatemala,home,W,2,0,True
Peru,2019-06-09,Friendly,Colombia,home,L,0,3,True
United States,2019-06-09,Friendly,Venezuela,home,L,0,3,True
Venezuela,2019-06-09,Friendly,United States,away,W,3,0,True
Algeria,2019-06-11,Friendly,Burundi,neutral,D,1,1,True
Burundi,2019-06-11,Friendly,Algeria,neutral,D,1,1,True
Croatia,2019-06-11,Friendly,Tunisia,home,L,1,2,True
Indonesia,2019-06-11,Friendly,Jordan,away,L,1,4,True
Iran,2019-06-11,Friendly,South Korea,away,D,1,1,True
Jordan,2019-06-11,Friendly,Indonesia,home,W,4,1,True
South Korea,2019-06-11,Friendly,Iran,home,D,1,1,True
Syria,2019-06-11,Friendly,Uzbekistan,away,L,0,2,True
Tunisia,2019-06-11,Friendly,Croatia,away,W,2,1,True
Uzbekistan,2019-06-11,Friendly,Syria,home,W,2,0,True
Gambia,2019-06-12,Friendly,Morocco,away,W,1,0,True
Morocco,2019-06-12,Friendly,Gambia,home,L,0,1,True
Egypt,2019-06-13,Friendly,Tanzania,home,W,1,0,True
Tanzania,2019-06-13,Friendly,Egypt,away,L,0,1,True
DR Congo,2019-06-15,Friendly,Kenya,neutral,D,1,1,True
Ghana,2019-06-15,Friendly,South Africa,neutral,D,0,0,True
Ivory Coast,2019-06-15,Friendly,Uganda,neutral,L,0,1,True
Kenya,2019-06-15,Friendly,DR Congo,neutral,D,1,1,True
South Africa,2019-06-15,Friendly,Ghana,neutral,D,0,0,True
Uganda,2019-06-15,Friendly,Ivory Coast,neutral,W,1,0,True
Algeria,2019-06-16,Friendly,Mali,neutral,W,3,2,True
Egypt,2019-06-16,Friendly,Guinea,home,W,3,1,True
Guinea,2019-06-16,Friendly,Egypt,away,L,1,3,True
Mali,2019-06-16,Friendly,Algeria,neutral,L,2,3,True
Morocco,2019-06-16,Friendly,Zambia,home,L,2,3,True
Nigeria,2019-06-16,Friendly,Senegal,neutral,L,0,1,True
Senegal,2019-06-16,Friendly,Nigeria,neutral,W,1,0,True
Zambia,2019-06-16,Friendly,Morocco,away,W,3,2,True
Burundi,2019-06-17,Friendly,Tunisia,away,L,1,2,True
Tunisia,2019-06-17,Friendly,Burundi,home,W,2,1,True
Ivory Coast,2019-06-19,Friendly,Zambia,neutral,W,4,1,True
Zambia,2019-06-19,Friendly,Ivory Coast,neutral,L,1,4,True
Jordan,2019-08-30,Friendly,Malaysia,away,W,1,0,True
Malaysia,2019-08-30,Friendly,Jordan,home,L,0,1,True
Argentina,2019-09-05,Friendly,Chile,neutral,D,0,0,True
Chile,2019-09-05,Friendly,Argentina,neutral,D,0,0,True
Ecuador,2019-09-05,Friendly,Peru,neutral,W,1,0,True
Georgia,2019-09-05,Friendly,South Korea,neutral,D,2,2,True
Mali,2019-09-05,Friendly,Saudi Arabia,away,D,1,1,True
Peru,2019-09-05,Friendly,Ecuador,neutral,L,0,1,True
Saudi Arabia,2019-09-05,Friendly,Mali,home,D,1,1,True
South Korea,2019-09-05,Friendly,Georgia,neutral,D,2,2,True
Benin,2019-09-06,Friendly,Ivory Coast,neutral,W,2,1,True
Brazil,2019-09-06,Friendly,Colombia,neutral,D,2,2,True
Burkina Faso,2019-09-06,Friendly,Morocco,away,D,1,1,True
Colombia,2019-09-06,Friendly,Brazil,neutral,D,2,2,True
Costa Rica,2019-09-06,Friendly,Uruguay,home,L,1,2,True
Ivory Coast,2019-09-06,Friendly,Benin,neutral,L,1,2,True
Mauritania,2019-09-06,Friendly,Tunisia,away,L,0,1,True
Mexico,2019-09-06,Friendly,United States,away,W,3,0,True
Morocco,2019-09-06,Friendly,Burkina Faso,home,D,1,1,True
Tunisia,2019-09-06,Friendly,Mauritania,home,W,1,0,True
United States,2019-09-06,Friendly,Mexico,home,L,0,3,True
Uruguay,2019-09-06,Friendly,Costa Rica,away,W,2,1,True
Algeria,2019-09-09,Friendly,Benin,home,W,1,0,True
Benin,2019-09-09,Friendly,Algeria,away,L,0,1,True
Iraq,2019-09-09,Friendly,Uzbekistan,neutral,D,0,0,True
Uzbekistan,2019-09-09,Friendly,Iraq,neutral,D,0,0,True
Argentina,2019-09-10,Friendly,Mexico,neutral,W,4,0,True
Bolivia,2019-09-10,Friendly,Ecuador,away,L,0,3,True
Brazil,2019-09-10,Friendly,Peru,neutral,L,0,1,True
Colombia,2019-09-10,Friendly,Venezuela,neutral,D,0,0,True
Ecuador,2019-09-10,Friendly,Bolivia,home,W,3,0,True
Ivory Coast,2019-09-10,Friendly,Tunisia,neutral,W,2,1,True
Jordan,2019-09-10,Friendly,Paraguay,home,L,2,4,True
Mexico,2019-09-10,Friendly,Argentina,neutral,L,0,4,True
Morocco,2019-09-10,Friendly,Niger,home,W,1,0,True
Niger,2019-09-10,Friendly,Morocco,away,L,0,1,True
Paraguay,2019-09-10,Friendly,Jordan,away,W,4,2,True
Peru,2019-09-10,Friendly,Brazil,neutral,W,1,0,True
Tunisia,2019-09-10,Friendly,Ivory Coast,neutral,L,1,2,True
United States,2019-09-10,Friendly,Uruguay,home,D,1,1,True
Uruguay,2019-09-10,Friendly,United States,away,D,1,1,True
Venezuela,2019-09-10,Friendly,Colombia,neutral,D,0,0,True
DR Congo,2019-09-18,Friendly,Rwanda,home,L,2,3,True
Rwanda,2019-09-18,Friendly,DR Congo,away,W,3,2,True
Mexico,2019-10-02,Friendly,Trinidad and Tobago,home,W,2,0,True
Trinidad and Tobago,2019-10-02,Friendly,Mexico,away,L,0,2,True
Jordan,2019-10-05,Friendly,Singapore,home,D,0,0,True
Singapore,2019-10-05,Friendly,Jordan,away,D,0,0,True
Argentina,2019-10-09,Friendly,Germany,away,D,2,2,True
Germany,2019-10-09,Friendly,Argentina,home,D,2,2,True
Algeria,2019-10-10,Friendly,DR Congo,home,D,1,1,True
Brazil,2019-10-10,Friendly,Senegal,neutral,D,1,1,True
Cape Verde,2019-10-10,Friendly,Togo,home,W,2,1,True
DR Congo,2019-10-10,Friendly,Algeria,away,D,1,1,True
Paraguay,2019-10-10,Friendly,Serbia,away,L,0,1,True
Senegal,2019-10-10,Friendly,Brazil,neutral,D,1,1,True
Serbia,2019-10-10,Friendly,Paraguay,home,W,1,0,True
Togo,2019-10-10,Friendly,Cape Verde,away,L,1,2,True
Libya,2019-10-11,Friendly,Morocco,away,D,1,1,True
Morocco,2019-10-11,Friendly,Libya,home,D,1,1,True
Peru,2019-10-11,Friendly,Uruguay,away,L,0,1,True
Uruguay,2019-10-11,Friendly,Peru,home,W,1,0,True
Cameroon,2019-10-12,Friendly,Tunisia,away,D,0,0,True
Chile,2019-10-12,Friendly,Colombia,neutral,D,0,0,True
Colombia,2019-10-12,Friendly,Chile,neutral,D,0,0,True
DR Congo,2019-10-12,Friendly,Ivory Coast,away,L,1,3,True
Ivory Coast,2019-10-12,Friendly,DR Congo,home,W,3,1,True
Tunisia,2019-10-12,Friendly,Cameroon,home,D,0,0,True
Argentina,2019-10-13,Friendly,Ecuador,neutral,W,6,1,True
Brazil,2019-10-13,Friendly,Nigeria,neutral,D,1,1,True
Ecuador,2019-10-13,Friendly,Argentina,neutral,L,1,6,True
Mali,2019-10-13,Friendly,South Africa,away,L,1,2,True
Nigeria,2019-10-13,Friendly,Brazil,neutral,D,1,1,True
Paraguay,2019-10-13,Friendly,Slovakia,away,D,1,1,True
Slovakia,2019-10-13,Friendly,Paraguay,home,D,1,1,True
South Africa,2019-10-13,Friendly,Mali,home,W,2,1,True
Botswana,2019-10-14,Friendly,Egypt,away,L,0,1,True
Czechia,2019-10-14,Friendly,Northern Ireland,home,L,2,3,True
Egypt,2019-10-14,Friendly,Botswana,home,W,1,0,True
Northern Ireland,2019-10-14,Friendly,Czechia,away,W,3,2,True
Algeria,2019-10-15,Friendly,Colombia,home,W,3,0,True
Bolivia,2019-10-15,Friendly,Haiti,home,W,3,1,True
Colombia,2019-10-15,Friendly,Algeria,away,L,0,3,True
Gabon,2019-10-15,Friendly,Morocco,away,W,3,2,True
Haiti,2019-10-15,Friendly,Bolivia,away,L,1,3,True
Morocco,2019-10-15,Friendly,Gabon,home,L,2,3,True
Peru,2019-10-15,Friendly,Uruguay,home,D,1,1,True
Uruguay,2019-10-15,Friendly,Peru,away,D,1,1,True
Egypt,2019-11-07,Friendly,Liberia,home,W,1,0,True
Liberia,2019-11-07,Friendly,Egypt,away,L,0,1,True
Kyrgyzstan,2019-11-09,Friendly,Uzbekistan,away,L,1,3,True
Uzbekistan,2019-11-09,Friendly,Kyrgyzstan,home,W,3,1,True
Bulgaria,2019-11-14,Friendly,Paraguay,home,L,0,1,True
Ecuador,2019-11-14,Friendly,Trinidad and Tobago,home,W,3,0,True
Ireland,2019-11-14,Friendly,New Zealand,home,W,3,1,True
New Zealand,2019-11-14,Friendly,Ireland,away,L,1,3,True
Paraguay,2019-11-14,Friendly,Bulgaria,away,W,1,0,True
Qatar,2019-11-14,Friendly,Singapore,home,W,2,0,True
Singapore,2019-11-14,Friendly,Qatar,away,L,0,2,True
Trinidad and Tobago,2019-11-14,Friendly,Ecuador,away,L,0,3,True
Colombia,2019-11-15,Friendly,Peru,neutral,W,1,0,True
Hungary,2019-11-15,Friendly,Uruguay,home,L,1,2,True
Peru,2019-11-15,Friendly,Colombia,neutral,L,0,1,True
Uruguay,2019-11-15,Friendly,Hungary,away,W,2,1,True
Lithuania,2019-11-17,Friendly,New Zealand,home,W,1,0,True
New Zealand,2019-11-17,Friendly,Lithuania,away,L,0,1,True
Argentina,2019-11-18,Friendly,Uruguay,neutral,D,2,2,True
Uruguay,2019-11-18,Friendly,Argentina,neutral,D,2,2,True
Brazil,2019-11-19,Friendly,South Korea,neutral,W,3,0,True
Colombia,2019-11-19,Friendly,Ecuador,neutral,W,1,0,True
Croatia,2019-11-19,Friendly,Georgia,home,W,2,1,True
Ecuador,2019-11-19,Friendly,Colombia,neutral,L,0,1,True
Georgia,2019-11-19,Friendly,Croatia,away,L,1,2,True
Paraguay,2019-11-19,Friendly,Saudi Arabia,away,D,0,0,True
Saudi Arabia,2019-11-19,Friendly,Paraguay,home,D,0,0,True
South Korea,2019-11-19,Friendly,Brazil,neutral,L,0,3,True
Barbados,2020-01-07,Friendly,Canada,neutral,L,1,4,True
Canada,2020-01-07,Friendly,Barbados,neutral,W,4,1,True
Moldova,2020-01-09,Friendly,Sweden,neutral,L,0,1,True
Sweden,2020-01-09,Friendly,Moldova,neutral,W,1,0,True
Barbados,2020-01-10,Friendly,Canada,neutral,L,1,4,True
Canada,2020-01-10,Friendly,Barbados,neutral,W,4,1,True
Kosovo,2020-01-12,Friendly,Sweden,neutral,L,0,1,True
Sweden,2020-01-12,Friendly,Kosovo,neutral,W,1,0,True
Canada,2020-01-15,Friendly,Iceland,neutral,L,0,1,True
Iceland,2020-01-15,Friendly,Canada,neutral,W,1,0,True
Costa Rica,2020-02-01,Friendly,United States,away,L,0,1,True
United States,2020-02-01,Friendly,Costa Rica,home,W,1,0,True
Andorra,2020-10-07,Friendly,Cape Verde,home,L,1,2,True
Austria,2020-10-07,Friendly,Greece,home,W,2,1,True
Cape Verde,2020-10-07,Friendly,Andorra,away,W,2,1,True
Croatia,2020-10-07,Friendly,Switzerland,away,W,2,1,True
Cyprus,2020-10-07,Friendly,Czechia,home,L,1,2,True
Czechia,2020-10-07,Friendly,Cyprus,away,W,2,1,True
France,2020-10-07,Friendly,Ukraine,home,W,7,1,True
Germany,2020-10-07,Friendly,Turkey,home,D,3,3,True
Greece,2020-10-07,Friendly,Austria,away,L,1,2,True
Mexico,2020-10-07,Friendly,Netherlands,away,W,1,0,True
Netherlands,2020-10-07,Friendly,Mexico,home,L,0,1,True
Portugal,2020-10-07,Friendly,Spain,home,D,0,0,True
Spain,2020-10-07,Friendly,Portugal,away,D,0,0,True
Switzerland,2020-10-07,Friendly,Croatia,home,L,1,2,True
Turkey,2020-10-07,Friendly,Germany,away,D,3,3,True
Ukraine,2020-10-07,Friendly,France,away,L,1,7,True
Belgium,2020-10-08,Friendly,Ivory Coast,home,D,1,1,True
England,2020-10-08,Friendly,Wales,home,W,3,0,True
Iran,2020-10-08,Friendly,Uzbekistan,away,W,2,1,True
Ivory Coast,2020-10-08,Friendly,Belgium,away,D,1,1,True
Namibia,2020-10-08,Friendly,South Africa,away,D,1,1,True
Russia,2020-10-08,Friendly,Sweden,home,L,1,2,True
South Africa,2020-10-08,Friendly,Namibia,home,D,1,1,True
Sweden,2020-10-08,Friendly,Russia,away,W,2,1,True
Uzbekistan,2020-10-08,Friendly,Iran,home,L,1,2,True
Wales,2020-10-08,Friendly,England,away,L,0,3,True
Algeria,2020-10-09,Friendly,Nigeria,neutral,W,1,0,True
Burkina Faso,2020-10-09,Friendly,DR Congo,neutral,W,3,0,True
Cameroon,2020-10-09,Friendly,Japan,neutral,D,0,0,True
DR Congo,2020-10-09,Friendly,Burkina Faso,neutral,L,0,3,True
Ghana,2020-10-09,Friendly,Mali,neutral,L,0,3,True
Japan,2020-10-09,Friendly,Cameroon,neutral,D,0,0,True
Mali,2020-10-09,Friendly,Ghana,neutral,W,3,0,True
Morocco,2020-10-09,Friendly,Senegal,home,W,3,1,True
Nigeria,2020-10-09,Friendly,Algeria,neutral,L,0,1,True
Senegal,2020-10-09,Friendly,Morocco,away,L,1,3,True
Sudan,2020-10-09,Friendly,Tunisia,away,L,0,3,True
Tunisia,2020-10-09,Friendly,Sudan,home,W,3,0,True
Cape Verde,2020-10-10,Friendly,Guinea,neutral,L,1,2,True
Costa Rica,2020-10-10,Friendly,Panama,home,L,0,1,True
Guinea,2020-10-10,Friendly,Cape Verde,neutral,W,2,1,True
Panama,2020-10-10,Friendly,Costa Rica,away,W,1,0,True
South Africa,2020-10-11,Friendly,Zambia,home,L,1,2,True
Zambia,2020-10-11,Friendly,South Africa,away,W,2,1,True
Ghana,2020-10-12,Friendly,Qatar,neutral,W,5,1,True
Qatar,2020-10-12,Friendly,Ghana,neutral,L,1,5,True
United Arab Emirates,2020-10-12,Friendly,Uzbekistan,home,L,1,2,True
Uzbekistan,2020-10-12,Friendly,United Arab Emirates,away,W,2,1,True
Algeria,2020-10-13,Friendly,Mexico,neutral,D,2,2,True
Costa Rica,2020-10-13,Friendly,Panama,home,L,0,1,True
DR Congo,2020-10-13,Friendly,Morocco,away,D,1,1,True
Ivory Coast,2020-10-13,Friendly,Japan,neutral,L,0,1,True
Japan,2020-10-13,Friendly,Ivory Coast,neutral,W,1,0,True
Mexico,2020-10-13,Friendly,Algeria,neutral,D,2,2,True
Morocco,2020-10-13,Friendly,DR Congo,home,D,1,1,True
Nigeria,2020-10-13,Friendly,Tunisia,neutral,D,1,1,True
Panama,2020-10-13,Friendly,Costa Rica,away,W,1,0,True
Tunisia,2020-10-13,Friendly,Nigeria,neutral,D,1,1,True
Andorra,2020-11-11,Friendly,Portugal,away,L,0,7,True
Austria,2020-11-11,Friendly,Luxembourg,away,W,3,0,True
Belgium,2020-11-11,Friendly,Switzerland,home,W,2,1,True
Croatia,2020-11-11,Friendly,Turkey,away,D,3,3,True
Czechia,2020-11-11,Friendly,Germany,away,L,0,1,True
Denmark,2020-11-11,Friendly,Sweden,home,W,2,0,True
Finland,2020-11-11,Friendly,France,away,W,2,0,True
France,2020-11-11,Friendly,Finland,home,L,0,2,True
Germany,2020-11-11,Friendly,Czechia,home,W,1,0,True
Luxembourg,2020-11-11,Friendly,Austria,home,L,0,3,True
Netherlands,2020-11-11,Friendly,Spain,home,D,1,1,True
Portugal,2020-11-11,Friendly,Andorra,home,W,7,0,True
Spain,2020-11-11,Friendly,Netherlands,away,D,1,1,True
Sweden,2020-11-11,Friendly,Denmark,away,L,0,2,True
Switzerland,2020-11-11,Friendly,Belgium,away,L,1,2,True
Turkey,2020-11-11,Friendly,Croatia,home,D,3,3,True
Bosnia and Herzegovina,2020-11-12,Friendly,Iran,home,L,0,2,True
England,2020-11-12,Friendly,Ireland,home,W,3,0,True
Iran,2020-11-12,Friendly,Bosnia and Herzegovina,away,W,2,0,True
Iraq,2020-11-12,Friendly,Jordan,neutral,D,0,0,True
Ireland,2020-11-12,Friendly,England,away,L,0,3,True
Jordan,2020-11-12,Friendly,Iraq,neutral,D,0,0,True
Syria,2020-11-12,Friendly,Uzbekistan,neutral,W,1,0,True
United States,2020-11-12,Friendly,Wales,away,D,0,0,True
Uzbekistan,2020-11-12,Friendly,Syria,neutral,L,0,1,True
Wales,2020-11-12,Friendly,United States,home,D,0,0,True
Costa Rica,2020-11-13,Friendly,Qatar,neutral,D,1,1,True
Japan,2020-11-13,Friendly,Panama,neutral,W,1,0,True
Panama,2020-11-13,Friendly,Japan,neutral,L,0,1,True
Qatar,2020-11-13,Friendly,Costa Rica,neutral,D,1,1,True
Jamaica,2020-11-14,Friendly,Saudi Arabia,away,L,0,3,True
Mexico,2020-11-14,Friendly,South Korea,neutral,W,3,2,True
Saudi Arabia,2020-11-14,Friendly,Jamaica,home,W,3,0,True
South Korea,2020-11-14,Friendly,Mexico,neutral,L,2,3,True
Jordan,2020-11-16,Friendly,Syria,neutral,W,1,0,True
Panama,2020-11-16,Friendly,United States,neutral,L,2,6,True
Syria,2020-11-16,Friendly,Jordan,neutral,L,0,1,True
United States,2020-11-16,Friendly,Panama,neutral,W,6,2,True
Iraq,2020-11-17,Friendly,Uzbekistan,neutral,W,2,1,True
Jamaica,2020-11-17,Friendly,Saudi Arabia,away,W,2,1,True
Japan,2020-11-17,Friendly,Mexico,neutral,L,0,2,True
Mexico,2020-11-17,Friendly,Japan,neutral,W,2,0,True
Qatar,2020-11-17,Friendly,South Korea,neutral,L,1,2,True
Saudi Arabia,2020-11-17,Friendly,Jamaica,home,L,1,2,True
South Korea,2020-11-17,Friendly,Qatar,neutral,W,2,1,True
Uzbekistan,2020-11-17,Friendly,Iraq,neutral,L,1,2,True
El Salvador,2020-12-09,Friendly,United States,away,L,0,6,True
United States,2020-12-09,Friendly,El Salvador,home,W,6,0,True
Iraq,2021-01-12,Friendly,United Arab Emirates,away,D,0,0,True
United Arab Emirates,2021-01-12,Friendly,Iraq,home,D,0,0,True
Iraq,2021-01-27,Friendly,Kuwait,home,W,2,1,True
Kuwait,2021-01-27,Friendly,Iraq,away,L,1,2,True
Panama,2021-01-28,Friendly,Serbia,home,D,0,0,True
Serbia,2021-01-28,Friendly,Panama,away,D,0,0,True
Trinidad and Tobago,2021-01-31,Friendly,United States,away,L,0,7,True
United States,2021-01-31,Friendly,Trinidad and Tobago,home,W,7,0,True
Jordan,2021-02-01,Friendly,Tajikistan,neutral,W,2,0,True
Tajikistan,2021-02-01,Friendly,Jordan,neutral,L,0,2,True
Jordan,2021-02-05,Friendly,Tajikistan,neutral,L,0,1,True
Tajikistan,2021-02-05,Friendly,Jordan,neutral,W,1,0,True
Jordan,2021-02-15,Friendly,Uzbekistan,neutral,L,0,2,True
